texto,emocao
Hoje o time está bem animado com o resultado da sprint.,alegria
Fiquei muito feliz com o feedback positivo do cliente.,alegria
Estou empolgado com as novas funcionalidades que vamos lançar.,alegria
O clima na empresa hoje está leve e divertido.,alegria
"Adorei participar da reunião de brainstorming, foi inspirador.",alegria
Me senti realizado depois de concluir essa entrega importante.,alegria
Foi ótimo ver o reconhecimento do nosso esforço na daily.,alegria
As mensagens de agradecimento da equipe me deixaram muito contente.,alegria
Hoje estou me sentindo cansado e desmotivado com o trabalho.,tristeza
Fiquei chateado com a forma como a reunião terminou.,tristeza
Estou triste por não ter conseguido cumprir o prazo.,tristeza
Sinto que meu esforço não está sendo valorizado ultimamente.,tristeza
O clima hoje está pesado e isso me deixa abatido.,tristeza
Fiquei desapontado com o resultado do nosso projeto piloto.,tristeza
Senti uma certa frustração com os comentários sobre meu desempenho.,tristeza
É desanimador ver que os mesmos problemas continuam acontecendo.,tristeza
Fiquei com muita raiva da forma como o problema foi tratado.,raiva
Estou irritado com a quantidade de retrabalho nesta tarefa.,raiva
Me incomoda muito quando as decisões são tomadas sem diálogo.,raiva
Sinto muita irritação com a falta de organização do processo.,raiva
Fiquei bravo com a falta de respeito com o horário combinado.,raiva
Me senti injustiçado com a crítica que recebi hoje.,raiva
É revoltante ver o mesmo erro sendo repetido de novo.,raiva
Estou de saco cheio dessas mudanças em cima da hora.,raiva
Estou preocupado com o prazo apertado deste projeto.,medo
Tenho medo de não conseguir entregar tudo o que foi combinado.,medo
Fico inseguro quando mudam o escopo sem planejamento.,medo
Sinto um certo receio de apresentar esses resultados para a diretoria.,medo
Estou tenso com a possibilidade de perder esse cliente importante.,medo
Me preocupa o impacto dessa falha na imagem da equipe.,medo
Tenho dúvidas se vamos conseguir manter esse ritmo por muito tempo.,medo
Fico apreensivo quando vejo tantas tarefas acumuladas.,medo
"Gosto muito de trabalhar com essa equipe, me sinto acolhido.",amor
Me sinto cuidado quando meus colegas perguntam como eu estou.,amor
"Tenho muito carinho pelo nosso time, somos bem unidos.",amor
"Admiro demais o esforço de todos, isso me motiva a dar o meu melhor.",amor
É gratificante ver como apoiamos uns aos outros.,amor
Sinto orgulho de fazer parte dessa empresa.,amor
Tenho respeito e admiração pelo meu líder.,amor
É muito bom sentir confiança nas pessoas com quem trabalho.,amor
Fiquei surpreso com o resultado da pesquisa de clima.,surpresa
Não esperava receber tantos elogios na retrospectiva.,surpresa
Foi uma surpresa muito boa ver a reação do cliente.,surpresa
Me surpreendi com a rapidez da nossa entrega.,surpresa
Não imaginava que a solução funcionaria tão bem assim.,surpresa
Fiquei impressionado com o nível de engajamento da equipe.,surpresa
Foi inesperado ver a diretoria reconhecer nosso trabalho publicamente.,surpresa
Me pegou de surpresa o anúncio do novo projeto.,surpresa
Estou satisfeito com a evolução do nosso produto.,alegria
Ver a equipe comemorando cada entrega me deixa animado.,alegria
Receber elogios dos usuários foi incrível.,alegria
A energia da equipe hoje está contagiante.,alegria
Sinto gratidão por trabalhar com pessoas tão parceiras.,amor
Percebo cuidado quando revisam meu trabalho com atenção.,amor
A confiança mútua que temos faz tudo valer a pena.,amor
Gosto de como nos apoiamos mesmo nos dias difíceis.,amor
Me surpreendi com a rapidez da correção do bug crítico.,surpresa
Não esperava que a apresentação fosse tão bem recebida.,surpresa
Foi chocante ver o cliente aprovar tudo de primeira.,surpresa
A reação positiva da diretoria foi inesperada.,surpresa
Me sinto esgotado depois de tantas horas extras.,tristeza
É frustrante ver o esforço não gerar reconhecimento.,tristeza
Fiquei abatido após a reunião cheia de críticas.,tristeza
Dói ver colegas desmotivados com o projeto.,tristeza
Perdi a paciência com as mudanças sem aviso.,raiva
A falta de planejamento me deixa irritado.,raiva
Fico furioso quando ignoram os riscos que apontamos.,raiva
Me revolta ter que refazer tarefas por descuido alheio.,raiva
Tenho receio de que o projeto saia do controle do orçamento.,medo
Sinto insegurança com as novas metas agressivas.,medo
Fico nervoso com a possibilidade de cortes na equipe.,medo
Me preocupa não ter tempo para testes antes do lançamento.,medo
